subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
100,0.6,0.5,0.375,0.5,0.45,0.0
101,0.3333333333333333,0.5,0.25,0.5,0.16666666666666666,0.0
103,1.0,1.0,1.0,1.0,1.0,
104,0.10526315789473684,0.25,0.047619047619047616,0.25,0.020050125313283207,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0
109,0.3333333333333333,0.5,0.25,0.5,0.16666666666666666,0.0
110,0.6666666666666666,0.5,0.4,0.5,0.5333333333333334,0.0
112,0.0,0.0,0.0,0.0,0.0,0.0
113,0.16666666666666666,0.25,0.07142857142857142,0.25,0.047619047619047616,0.0
