subject,accuracy,balanced_accuracy,macro_f1,macro_recall,weighted_f1,cohen_kappa
100,0.4,0.4,0.2857142857142857,0.2,0.5714285714285714,0.0
101,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
103,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
104,0.631578947368421,0.6190476190476191,0.6144927536231883,0.6190476190476191,0.6358504958047292,0.23121387283236994
106,0.6,0.6071428571428572,0.5982142857142857,0.6071428571428572,0.5964285714285714,0.21052631578947367
108,1.0,1.0,1.0,1.0,1.0,1.0
109,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
110,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.0
112,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
113,0.5,0.4571428571428572,0.4375,0.4571428571428572,0.46875,-0.09090909090909083
114,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
115,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
117,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
118,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
120,0.4166666666666667,0.25,0.29411764705882354,0.25,0.4901960784313726,-0.3124999999999998
121,0.6,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.6,0.16666666666666663
122,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
127,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
128,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
130,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
131,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
133,0.6666666666666666,0.6666666666666667,0.6571428571428571,0.6666666666666667,0.6571428571428571,0.33333333333333337
136,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
138,0.4444444444444444,0.41666666666666663,0.41558441558441556,0.41666666666666663,0.4588744588744588,-0.15384615384615397
139,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
142,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
144,0.5,0.5,0.5,0.5,0.5,0.0
147,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
148,0.6666666666666666,0.625,0.625,0.625,0.6666666666666666,0.25
150,0.8333333333333334,0.8333333333333333,0.8285714285714285,0.8333333333333333,0.8285714285714286,0.6666666666666667
155,1.0,1.0,1.0,1.0,1.0,1.0
164,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
167,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
170,0.0,0.0,0.0,0.0,0.0,0.0
171,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
174,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
19,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
25,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
29,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
31,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
35,1.0,1.0,1.0,1.0,1.0,
40,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
41,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
44,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
47,0.25,0.25,0.2,0.125,0.4,0.0
48,1.0,1.0,1.0,1.0,1.0,1.0
49,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
52,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
55,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
56,0.6,0.6,0.375,0.3,0.75,0.0
58,0.36363636363636365,0.3833333333333333,0.3418803418803419,0.3833333333333333,0.33100233100233106,-0.22222222222222232
61,0.25,0.25,0.2,0.125,0.4,0.0
63,0.6666666666666666,0.6666666666666666,0.4,0.3333333333333333,0.8000000000000002,0.0
65,0.6,0.5833333333333333,0.5833333333333333,0.5833333333333333,0.6,0.16666666666666663
67,0.8,0.8333333333333333,0.8,0.8333333333333333,0.8,0.6153846153846154
70,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
72,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
73,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
76,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
77,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
84,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
87,0.7142857142857143,0.8125,0.6971153846153846,0.8125,0.7348901098901099,0.4424778761061947
89,0.375,0.375,0.2727272727272727,0.1875,0.5454545454545454,0.0
93,0.7333333333333333,0.8181818181818181,0.7222222222222222,0.8181818181818181,0.7481481481481481,0.48275862068965514
94,0.2,0.25,0.16666666666666666,0.25,0.13333333333333333,-0.4285714285714286
95,0.25,0.25,0.2,0.125,0.4,0.0
97,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
98,0.5,0.5,0.3333333333333333,0.25,0.6666666666666666,0.0
99,0.3333333333333333,0.3333333333333333,0.25,0.16666666666666666,0.5,0.0
